transaction_id;employee_id;name;department;region;category;amount;date;payment_method;business_purpose;location;Policy_Limit;Excess_Amount;Policy_Violation;Missing_Receipt;Personal_Card_Flag;Compliance_Status
T00234;E158;Shirley Stewart;Finance;Berlin, Germany;Train;120,71;1.10.2025;Corporate Card;Business trip;Berlin, Germany;150;0;0;0;0;OK
T00167;E146;Deborah Rivera;Finance;Warsaw, Poland;Hotel;118,27;27.02.2025;Corporate Card;Finance workshop;London, UK;300;0;0;0;0;OK
T00214;E157;Jeffrey Collins;Marketing;Warsaw, Poland;Breakfast;15,83;23.07.2025;Corporate Card;Client meeting;London, UK;30;0;0;1;0;Review
T00258;E168;Frank Cooper;Engineering;Berlin, Germany;Taxi/Rideshare;59,98;23.10.2025;Personal Card;Late return from client meeting;Prague, Czech Republic;75;0;0;0;1;Review
T00010;E106;Jennifer Garcia;Operations;Warsaw, Poland;Dinner;53,45;21.04.2025;Corporate Card;Business trip;Prague, Czech Republic;75;0;0;0;0;OK
T00152;E143;Kevin Nelson;Sales;London, UK;Lunch;27,01;20.06.2025;Corporate Card;Customer workshop;Amsterdam, Netherlands;50;0;0;0;0;OK
T00179;E153;Timothy Campbell;HR;Warsaw, Poland;Hotel;119,45;30.06.2025;Personal Card;Business trip;Gdansk, Poland;300;0;0;0;1;Review
T00119;E135;Paul Wright;HR;Warsaw, Poland;Dinner;36,96;12.08.2025;Personal Card;Team dinner;Gdansk, Poland;75;0;0;1;1;Review
T00194;E157;Jeffrey Collins;Marketing;Warsaw, Poland;Hotel;260,81;8.12.2025;Corporate Card;Project workshop;Krakow, Poland;300;0;0;0;0;OK
T00229;E157;Jeffrey Collins;Marketing;Warsaw, Poland;Airfare;962,1;2.06.2025;Corporate Card;Supplier meeting;Wroclaw, Poland;800;162,1;1;0;0;Review
T00061;E116;Jessica Thomas;Finance;Warsaw, Poland;Airfare;907,48;5.05.2025;Corporate Card;Training;London, UK;800;107,48;1;0;0;Review
T00296;E170;Raymond Cox;Finance;Warsaw, Poland;Breakfast;22,79;29.08.2025;Corporate Card;Client meeting;Krakow, Poland;30;0;0;0;0;OK
T00065;E116;Jessica Thomas;Finance;Warsaw, Poland;Train;119,2;25.09.2025;Corporate Card;Internal meeting;Warsaw, Poland;150;0;0;1;0;Review
T00012;E107;Michael Miller;Sales;Berlin, Germany;Dinner;40,9;18.06.2025;Corporate Card;Supplier meeting;Prague, Czech Republic;75;0;0;0;0;OK
